workerId	retainerRateDollars	retainerMillis	postTime	startTime
A3POLV08XTYAMD	0.50000	600000	2016-12-15 13:58:41	2016-12-15 14:01:37
A3BBDCU69807T2	0.50000	600000	2016-12-30 11:06:02	2016-12-30 11:10:40
A3PPRVK6XK6GP5	0.50000	600000	2017-02-14 08:09:04	2017-02-14 08:10:19
A1C4Z1S9A2DD45	0.50000	600000	2017-02-13 20:47:54	2017-02-13 20:48:37
A3PPRVK6XK6GP5	0.50000	600000	2017-02-18 05:37:21	2017-02-18 05:38:16
A109CH3492UU42	0.50000	600000	2017-02-18 14:17:11	2017-02-18 14:17:25
A3D2SUT0WZXWH2	0.50000	600000	2017-02-21 02:16:21	2017-02-21 02:16:34
A13XXMDHOULEZ7	0.50000	600000	2017-03-01 15:54:28	2017-03-01 15:54:46
A1KEA2Z47S3UPI	0.50000	600000	2017-03-03 10:42:52	2017-03-03 10:47:07
A3PPRVK6XK6GP5	0.50000	600000	2017-03-03 18:56:33	2017-03-03 18:56:43
AXLMOFXKXSU0B	0.50000	600000	2017-03-04 13:22:36	2017-03-04 13:24:05
A3D2SUT0WZXWH2	0.50000	600000	2017-01-13 08:59:36	2017-01-13 09:00:46
A3PPRVK6XK6GP5	0.50000	600000	2017-03-16 05:36:08	2017-03-16 05:38:35
A3PPRVK6XK6GP5	0.50000	600000	2017-03-23 05:47:28	2017-03-23 05:57:29
A3SX229VS1X6B6	0.50000	600000	2017-03-23 23:41:28	2017-03-23 23:49:05
A3U1K9X1LXA5JA	0.15000	600000	2016-10-09 13:46:24	2016-10-09 13:58:30
A1KGX4IKHV4DLW	0.15000	600000	2016-10-22 22:54:49	2016-10-22 23:12:42
AXLMOFXKXSU0B	0.15000	600000	2016-11-30 15:46:39	2016-11-30 15:50:24
A109CH3492UU42	0.50000	600000	2016-12-14 04:08:50	2016-12-14 04:08:59
AXLMOFXKXSU0B	0.50000	600000	2016-12-30 09:30:02	2016-12-30 09:32:25
A3D2SUT0WZXWH2	0.50000	600000	2017-02-04 21:30:43	2017-02-04 21:34:34
A3POLV08XTYAMD	0.50000	600000	2017-02-07 06:52:09	2017-02-07 06:52:57
A27GZN1JOOIAUW	0.50000	600000	2017-02-08 15:47:29	2017-02-08 15:48:07
